id,date,month,year,day_of_week
0,1995-10-09,October,1995,Monday
1,1995-10-10,October,1995,Tuesday
2,1995-01-01,January,1995,Sunday
3,1995-05-10,May,1995,Wednesday
4,1995-06-11,June,1995,Sunday
6,1995-04-20,April,1995,Thursday
7,1995-09-11,September,1995,Monday
8,1995-01-15,January,1995,Sunday
9,1995-09-15,September,1995,Friday
10,1994-08-01,August,1994,Monday
11,1995-07-22,July,1995,Saturday
12,1995-06-11,June,1995,Sunday
13,1995-08-21,August,1995,Monday
14,1995-04-16,April,1995,Sunday
15,1995-02-07,February,1995,Tuesday
16,1995-11-18,November,1995,Saturday
17,1995-06-10,June,1995,Saturday
18,1995-05-14,May,1995,Sunday
19,1995-02-04,February,1995,Saturday
20,1995-08-12,August,1995,Saturday
21,1995-11-06,November,1995,Monday
23,1995-03-14,March,1995,Tuesday
25,1995-05-06,May,1995,Saturday
26,1995-07-30,July,1995,Sunday
27,1995-08-22,August,1995,Tuesday
28,1995-02-07,February,1995,Tuesday
29,1995-09-09,September,1995,Saturday
30,1995-03-28,March,1995,Tuesday
31,1995-04-04,April,1995,Tuesday
32,1995-02-28,February,1995,Tuesday
33,1995-02-22,February,1995,Wednesday
34,1995-09-12,September,1995,Tuesday
35,1995-08-24,August,1995,Thursday
36,1995-01-30,January,1995,Monday
37,1995-08-29,August,1995,Tuesday
38,1995-01-21,January,1995,Saturday
39,1995-10-22,October,1995,Sunday
40,1995-09-16,September,1995,Saturday
41,1994-12-31,December,1994,Saturday
42,1995-04-23,April,1995,Sunday
43,1995-02-22,February,1995,Wednesday
44,1995-03-14,March,1995,Tuesday
45,1995-11-16,November,1995,Thursday
46,1995-02-02,February,1995,Thursday
48,1995-06-25,June,1995,Sunday
49,1995-08-09,August,1995,Wednesday
50,1995-08-25,August,1995,Friday
53,1995-09-13,September,1995,Wednesday
54,1995-08-08,August,1995,Tuesday
57,1995-03-22,March,1995,Wednesday
58,1995-02-22,February,1995,Wednesday
59,1995-03-12,March,1995,Sunday
60,1995-06-03,June,1995,Saturday
61,1995-01-03,January,1995,Tuesday
62,1995-03-25,March,1995,Saturday
63,1995-08-04,August,1995,Friday
64,1995-07-30,July,1995,Sunday
65,1995-06-12,June,1995,Monday
66,1995-11-13,November,1995,Monday
67,1995-03-12,March,1995,Sunday
68,1995-07-20,July,1995,Thursday
70,1995-08-22,August,1995,Tuesday
71,1995-01-31,January,1995,Tuesday
73,1995-10-02,October,1995,Monday
75,1995-10-03,October,1995,Tuesday
76,1995-10-27,October,1995,Friday
77,1995-06-11,June,1995,Sunday
78,1995-02-10,February,1995,Friday
79,1995-08-23,August,1995,Wednesday
81,1995-06-30,June,1995,Friday
85,1995-09-24,September,1995,Sunday
88,1995-03-15,March,1995,Wednesday
90,1995-04-03,April,1995,Monday
91,1995-06-18,June,1995,Sunday
92,1995-04-20,April,1995,Thursday
93,1995-09-14,September,1995,Thursday
94,1995-11-12,November,1995,Sunday
96,1995-04-25,April,1995,Tuesday
97,1995-01-02,January,1995,Monday
98,1995-08-05,August,1995,Saturday
99,1995-08-26,August,1995,Saturday
100,1995-06-24,June,1995,Saturday
105,1995-06-11,June,1995,Sunday
107,1995-07-28,July,1995,Friday
108,1995-08-30,August,1995,Wednesday
109,1995-02-10,February,1995,Friday
110,1995-09-04,September,1995,Monday
112,1995-09-25,September,1995,Monday
113,1995-02-06,February,1995,Monday
114,1995-08-26,August,1995,Saturday
115,1995-02-23,February,1995,Thursday
116,1995-08-15,August,1995,Tuesday
117,1995-09-23,September,1995,Saturday
118,1995-01-17,January,1995,Tuesday
119,1995-10-07,October,1995,Saturday
120,1995-07-28,July,1995,Friday
122,1995-03-14,March,1995,Tuesday
126,1995-02-03,February,1995,Friday
129,1995-02-04,February,1995,Saturday
130,1995-05-24,May,1995,Wednesday
132,1995-09-20,September,1995,Wednesday
133,1995-09-25,September,1995,Monday
134,1995-04-22,April,1995,Saturday
136,1995-05-13,May,1995,Saturday
137,1995-06-03,June,1995,Saturday
138,1995-04-01,April,1995,Saturday
139,1995-01-24,January,1995,Tuesday
142,1995-10-31,October,1995,Tuesday
143,1995-11-01,November,1995,Wednesday
147,1995-11-11,November,1995,Saturday
149,1995-01-07,January,1995,Saturday
150,1995-09-12,September,1995,Tuesday
151,1995-02-27,February,1995,Monday
152,1995-01-31,January,1995,Tuesday
153,1995-06-11,June,1995,Sunday
154,1995-07-02,July,1995,Sunday
157,1995-07-15,July,1995,Saturday
158,1995-06-11,June,1995,Sunday
162,1995-03-25,March,1995,Saturday
163,1995-03-25,March,1995,Saturday
164,1995-09-12,September,1995,Tuesday
165,1995-08-12,August,1995,Saturday
166,1995-08-27,August,1995,Sunday
167,1995-04-10,April,1995,Monday
170,1995-05-19,May,1995,Friday
171,1994-12-29,December,1994,Thursday
172,1995-01-22,January,1995,Sunday
173,1995-02-26,February,1995,Sunday
174,1995-08-06,August,1995,Sunday
175,1995-08-02,August,1995,Wednesday
176,1995-03-06,March,1995,Monday
178,1995-09-22,September,1995,Friday
179,1995-11-11,November,1995,Saturday
180,1995-02-12,February,1995,Sunday
181,1995-06-25,June,1995,Sunday
182,1995-01-22,January,1995,Sunday
183,1995-06-17,June,1995,Saturday
184,1995-08-31,August,1995,Thursday
186,1995-03-19,March,1995,Sunday
187,1995-01-03,January,1995,Tuesday
188,1993-01-01,January,1993,Friday
189,1995-08-26,August,1995,Saturday
190,1995-11-17,November,1995,Friday
191,1995-06-23,June,1995,Friday
192,1995-08-20,August,1995,Sunday
194,1995-06-14,June,1995,Wednesday
195,1995-05-06,May,1995,Saturday
196,1995-11-10,November,1995,Friday
197,1995-03-13,March,1995,Monday
198,1995-03-09,March,1995,Thursday
199,1995-06-09,June,1995,Friday
200,1995-11-18,November,1995,Saturday
201,1995-02-08,February,1995,Wednesday
202,1995-03-10,March,1995,Friday
203,1995-08-22,August,1995,Tuesday
204,1995-02-20,February,1995,Monday
205,1995-09-13,September,1995,Wednesday
206,1995-05-15,May,1995,Monday
207,1995-06-01,June,1995,Thursday
208,1995-09-02,September,1995,Saturday
209,1995-10-16,October,1995,Monday
210,1995-03-15,March,1995,Wednesday
211,1995-03-14,March,1995,Tuesday
212,1995-01-31,January,1995,Tuesday
213,1995-07-31,July,1995,Monday
214,1995-03-16,March,1995,Thursday
216,1995-07-20,July,1995,Thursday
218,1995-05-12,May,1995,Friday
219,1995-02-10,February,1995,Friday
221,1995-03-18,March,1995,Saturday
224,1995-02-23,February,1995,Thursday
225,1995-01-17,January,1995,Tuesday
226,1995-05-19,May,1995,Friday
227,1995-03-30,March,1995,Thursday
228,1995-04-10,April,1995,Monday
229,1995-03-07,March,1995,Tuesday
230,1995-07-29,July,1995,Saturday
231,1995-04-22,April,1995,Saturday
232,1995-09-19,September,1995,Tuesday
234,1995-11-19,November,1995,Sunday
235,1995-01-23,January,1995,Monday
236,1995-08-13,August,1995,Sunday
237,1995-08-07,August,1995,Monday
239,1995-10-18,October,1995,Wednesday
240,1995-04-16,April,1995,Sunday
241,1995-08-20,August,1995,Sunday
243,1995-10-24,October,1995,Tuesday
244,1995-03-14,March,1995,Tuesday
245,1995-03-06,March,1995,Monday
246,1995-03-02,March,1995,Thursday
248,1995-07-09,July,1995,Sunday
249,1995-03-30,March,1995,Thursday
250,1995-08-08,August,1995,Tuesday
251,1995-06-27,June,1995,Tuesday
252,1995-02-16,February,1995,Thursday
253,1995-03-26,March,1995,Sunday
254,1995-02-19,February,1995,Sunday
255,1995-04-03,April,1995,Monday
256,1995-08-06,August,1995,Sunday
258,1994-12-08,December,1994,Thursday
260,1995-07-15,July,1995,Saturday
261,1995-09-11,September,1995,Monday
263,1995-02-16,February,1995,Thursday
266,1995-04-13,April,1995,Thursday
268,1995-10-01,October,1995,Sunday
271,1995-08-02,August,1995,Wednesday
272,1995-02-16,February,1995,Thursday
274,1995-08-21,August,1995,Monday
275,1995-08-06,August,1995,Sunday
276,1995-08-13,August,1995,Sunday
277,1995-02-22,February,1995,Wednesday
278,1995-08-25,August,1995,Friday
279,1995-01-18,January,1995,Wednesday
280,1995-04-19,April,1995,Wednesday
281,1995-06-28,June,1995,Wednesday
282,1995-10-02,October,1995,Monday
283,1995-07-16,July,1995,Sunday
284,1995-07-28,July,1995,Friday
285,1995-02-16,February,1995,Thursday
287,1995-01-19,January,1995,Thursday
288,1995-08-30,August,1995,Wednesday
289,1995-06-24,June,1995,Saturday
290,1995-10-13,October,1995,Friday
291,1995-03-25,March,1995,Saturday
292,1995-09-08,September,1995,Friday
293,1995-10-01,October,1995,Sunday
294,1995-07-11,July,1995,Tuesday
296,1995-06-28,June,1995,Wednesday
297,1995-01-14,January,1995,Saturday
298,1995-03-06,March,1995,Monday
299,1995-01-03,January,1995,Tuesday
300,1995-05-11,May,1995,Thursday
301,1995-05-18,May,1995,Thursday
303,1995-02-02,February,1995,Thursday
304,1995-08-11,August,1995,Friday
305,1995-03-14,March,1995,Tuesday
307,1995-04-22,April,1995,Saturday
309,1995-02-19,February,1995,Sunday
310,1995-03-15,March,1995,Wednesday
311,1995-01-06,January,1995,Friday
312,1995-02-05,February,1995,Sunday
313,1995-05-13,May,1995,Saturday
315,1995-09-12,September,1995,Tuesday
317,1995-08-15,August,1995,Tuesday
319,1995-10-14,October,1995,Saturday
320,1995-05-15,May,1995,Monday
321,1995-09-25,September,1995,Monday
322,1990-01-01,January,1990,Monday
324,1995-08-30,August,1995,Wednesday
325,1995-04-02,April,1995,Sunday
326,1995-11-03,November,1995,Friday
327,1995-03-22,March,1995,Wednesday
328,1995-01-15,January,1995,Sunday
330,1995-03-17,March,1995,Friday
331,1995-06-16,June,1995,Friday
332,1995-09-22,September,1995,Friday
335,1995-10-01,October,1995,Sunday
337,1995-08-23,August,1995,Wednesday
339,1995-02-02,February,1995,Thursday
340,1995-03-08,March,1995,Wednesday
343,1995-05-23,May,1995,Tuesday
344,1995-01-11,January,1995,Wednesday
345,1995-05-21,May,1995,Sunday
347,1995-05-14,May,1995,Sunday
348,1995-10-01,October,1995,Sunday
349,1995-01-05,January,1995,Thursday
350,1995-06-09,June,1995,Friday
351,1995-09-10,September,1995,Sunday
352,1995-02-22,February,1995,Wednesday
354,1995-03-14,March,1995,Tuesday
356,1995-02-03,February,1995,Friday
357,1995-10-07,October,1995,Saturday
358,1994-12-30,December,1994,Friday
359,1995-08-22,August,1995,Tuesday
362,1995-02-22,February,1995,Wednesday
364,1995-08-29,August,1995,Tuesday
