year,count
1880,1
1899,1
1910,1
1920,1
1929,1
1931,1
1936,1
1937,2
1939,2
1942,3
1944,5
1945,5
1946,7
1947,25
1948,6
1949,10
1950,18
1951,13
1952,27
1953,22
1954,27
1955,21
1956,25
1957,47
1958,29
1959,33
1960,47
1961,30
1962,40
1963,45
1964,58
1965,116
1966,122
1967,118
1968,115
1969,88
1970,80
1971,53
1972,94
1973,148
1974,166
1975,178
1976,176
1977,153
1978,195
1979,144
1980,142
1981,92
1982,107
1983,86
1984,113
1985,117
1986,125
1987,134
1988,118
1989,147
1990,139
1991,137
1992,142
1993,191
1994,244
1995,994
1996,589
1997,893
1998,1326
1999,1909
2000,1866
2001,2172
2002,2113
2003,2577
2004,2881
2005,2757
2006,2459
2007,2978
2008,3387
2009,3036
2010,1830
