word,count
object,1537
section,1192
may,962
time,807
date,796
air,739
eye,659
objects,616
report,588
high,582
police,576
etc,571
moving,559
one,539
naked,514
lines,467
ops,463
seen,453
informant,452
estimated,451
flying,423
known,415
lights,412
conditions,401
direction,396
observer,395
stationary,382
address,377
first,377
sighting,377
landmark,366
reported,366
observed,366
reference,365
action,347
position,329
clear,328
light,327
unidentified,321
distance,321
routine,321
distribution,320
telephone,319
sic,318
duration,311
shape,310
still,309
night,308
use,299
sec,292
military,291
size,291
page,290
course,290
would,288
name,288
sky,286
speed,279
none,278
background,272
exact,266
press,259
witnesses,259
bright,259
binoculars,257
radio,257
buildings,254
mist,252
receipt,251
reports,251
river,251
useful,251
angle,249
tall,245
subject,244
lake,243
clouds,241
masts,241
badly,240
bearing,237
unreliable,237
movie,237
sites,236
haze,235
factories,233
voltage,233
description,232
marsh,231
reservoir,231
lighting,230
sight,230
optical,230
dam,230
estimates,229
spires,229
location,228
swamp,227
plant,226
movements,225
nearby,223
brightness,222
aerial,222
generating,220
south,218
nil,218
chimneys,216
cab,216
white,216
steeples,216
pits,214
unusual,213
outdoors,212
main,211
two,209
phenomena,207
red,205
airfields,205
meteorological,204
changes,203
local,202
volunteered,196
ministry,187
iii,184
heights,182
information,181
could,175
like,171
file,171
east,171
copies,168
west,167
cam,167
sound,166
aircraft,166
device,165
number,161
met,159
1985,159
see,157
observations,151
north,150
approx,147
officer,146
area,145
possible,142
also,141
mod,138
duty,136
force,132
cloud,130
sightings,129
minutes,129
operations,128
lord,127
car,125
made,125
miles,124
years,123
letter,122
indoors,122
near,120
outdoor,119
know,118
received,117
many,116
remarks,116
times,115
smell,114
towards,111
steady,111
floodlights,110
house,108
tel,107
given,107
degrees,105
interest,104
three,103
large,101
bldg,101
flood,101
indoor,100
appeared,98
111,97
station,96
side,96
moved,94
green,93
reply,93
saw,92
public,91
shaped,91
said,91
new,90
camera,89
department,89
back,88
way,87
building,87
hrs,86
people,83
good,83
flashing,82
staff,82
away,81
blue,81
copy,81
details,80
left,80
lords,79
road,79
hill,78
short,78
part,78
annex,76
space,76
devices,76
since,75
evidence,74
star,73
airport,73
orange,73
incident,73
quoted,73
geographical,72
round,72
year,71
however,71
minute,69
far,69
ref,68
radar,68
whether,68
research,67
form,67
line,67
security,67
feet,67
leader,67
top,66
traffic,65
mum,65
wherever,65
base,65
right,65
unclassified,65
passed,65
man,64
dated,63
mar,63
last,62
sent,62
national,62
control,62
mile,62
room,61
case,61
witness,60
long,60
nest,60
civil,60
question,59
squadron,59
government,59
low,59
outside,59
overhead,59
went,59
view,59
similar,58
unknown,58
royal,58
home,57
end,57
taken,57
well,57
come,57
elevation,56
say,56
please,56
ground,55
due,55
558,54
small,53
take,53
half,53
might,53
angular,53
earth,53
approximately,52
anything,52
found,52
strange,52
horizon,52
thank,52
book,52
august,51
matter,51
get,50
seconds,50
around,50
444,50
told,50
movement,50
sun,49
hours,49
looking,49
grateful,49
close,48
point,48
mag,48
little,48
state,48
therefore,47
much,47
act,47
ball,47
four,47
although,47
along,47
must,47
came,46
within,46
make,46
things,46
ill,46
think,46
believe,46
following,45
another,45
middle,45
took,45
several,45
united,45
war,45
even,45
day,45
observation,44
across,44
garden,44
1980,44
place,44
quite,44
1111,44
office,44
service,43
0,43
great,43
dear,42
wife,42
later,42
sea,42
head,42
investigation,42
cannot,42
issue,42
height,42
asked,42
old,42
secretariat,42
able,42
questions,41
saucer,41
study,41
comet,41
something,41
aware,41
disappeared,41
nothing,41
pages,41
find,41
photographs,41
ion,41
full,40
yet,40
moon,40
flight,40
put,40
fast,40
circular,40
either,40
info,40
phenomenon,39
direct,39
friend,39
trees,39
give,39
behind,39
jun,39
stopped,39
general,39
sir,39
five,39
attached,39
1986,38
straight,38
unable,38
significance,38
involved,38
statement,38
chief,38
next,37
stated,37
set,37
scientific,37
order,37
answer,37
civilian,36
yellow,36
window,36
net,36
forest,36
age,36
hovering,36
bristol,35
news,35
cases,35
cover,35
secret,35
events,35
country,35
look,35
stars,34
men,34
street,34
request,34
slowly,34
going,34
explanations,34
mom,34
ask,33
visibility,33
hour,33
perhaps,33
let,33
1984,33
seemed,33
fact,33
least,33
complaint,33
second,33
dome,33
says,33
secretary,32
bridge,32
level,32
sure,32
original,32
hope,32
attention,32
never,32
looked,32
informed,32
wheat,32
vehicle,32
craft,32
valley,32
called,32
world,31
1,31
88,31
silver,31
col,31
referred,31
run,31
deg,31
1981,31
noble,31
help,31
777,31
material,31
note,31
circles,31
normal,31
others,31
minister,31
estimate,30
knowledge,30
without,30
weather,30
responsible,30
standing,30
halt,30
husband,30
black,30
members,30
meeting,30
noise,30
arc,30
past,29
group,29
explanation,29
person,29
best,29
1983,29
nun,29
loose,29
released,29
seems,29
headquarters,29
ease,29
sighted,29
front,29
signed,29
nature,28
letters,28
mil,28
farm,28
attn,28
diameter,28
interested,28
visible,28
town,28
dark,28
TRUE,28
thing,28
present,28
result,28
receive,28
sincerely,28
early,28
negatives,27
march,27
recent,27
tho,27
site,27
attach,27
field,27
move,27
directly,27
television,27
thought,27
authority,27
via,27
fine,27
paper,26
min,26
remain,26
school,26
fairly,26
states,26
ext,26
rear,26
central,26
feel,26
pink,26
investigations,26
kingdom,26
unit,26
appear,26
heard,26
including,26
131,26
enclosed,26
beyond,26
box,26
aviation,26
arm,26
viscount,26
obtained,25
implications,25
used,25
yes,25
incidents,25
forward,25
inside,25
available,25
division,25
ago,25
miss,25
claims,25
driving,25
requested,25
indeed,24
document,24
described,24
tell,24
mama,24
wish,24
tree,24
reason,24
100,24
film,24
add,24
work,24
forces,24
forwarded,24
fro,23
hat,23
photos,23
superintendent,23
land,23
hand,23
editor,23
landing,23
period,23
director,23
alleged,23
records,23
together,23
specific,23
555,23
friends,23
smaller,23
egg,23
ever,23
different,23
published,23
non,22
horizontal,22
magazine,22
estate,22
plus,22
call,22
data,22
science,22
sheet,22
observers,22
real,22
required,22
noticed,22
11,22
per,22
every,22
changing,22
contact,22
certainly,22
officers,22
wit,22
almost,22
1967,22
unless,22
gate,22
38,22
initially,22
turned,21
311,21
triangular,21
earl,21
complaints,21
services,21
rather,21
larger,21
whilst,21
possibly,21
official,21
rain,21
wow,21
got,21
secs,21
ten,21
open,21
release,21
amendment,21
rep,21
yards,21
park,21
lit,21
surrey,21
circle,21
awn,21
army,21
dis,21
threat,21
fin,20
deal,20
coming,20
mystery,20
source,20
switchboard,20
turn,20
story,20
58,20
helicopter,20
agree,20
1979,20
shown,20
read,20
else,20
keen,20
heading,20
effort,20
stood,20
six,20
1982,20
establish,20
member,20
returned,20
inn,20
photo,20
commander,20
outer,20
taking,20
shall,20
consider,20
really,20
upon,20
law,20
need,20
track,20
children,20
writing,20
various,20
edge,20
113,20
door,19
length,19
houses,19
sorry,19
third,19
examine,19
gave,19
life,19
eve,19
whole,19
con,19
comments,19
123,19
