geocoded_latitude,geocoded_longitude
41.6612561,-91.5299106
43.0349931,-87.922497
47.2150945,-123.1007066
38.951883,-92.3337366
47.6038321,-122.3300624
46.877229,-96.789821
36.1662859,-115.149225
39.9098345,-75.3235215
47.6694141,-122.1238767
47.4799078,-122.2034496
39.7989763,-89.6443688
42.1237102,-71.1786627
41.4239666,-76.494113
33.732052,-84.9191081
46.6864843,-123.7329469
28.5423999,-81.3794368
36.791225,-81.7712324
40.8116667,-73.8063889
44.100351,-70.2147764
26.4520248,-81.948145
29.8946952,-81.3145395
34.0922335,-117.435048
44.5365467,-122.9068762
41.4134764,-73.3086445
34.5402813,-112.469518
47.8222945,-122.8751712
47.6594091,-122.6766317
60.5439444,-145.7589103
39.6020608,-74.8426653
38.4493315,-78.8688833
45.6306954,-122.6744557
41.3909305,-72.859545
42.3192548,-85.1824269
30.3321838,-81.655651
43.61656,-116.200835
35.881048,-83.77661826
33.3823635,-86.91720475
47.6038321,-122.3300624
38.7945166,-83.5451934
27.4989278,-82.5748194
47.6038321,-122.3300624
41.2157904,-86.777617
38.4087993,-121.3716178
44.3479362,-87.8269868
43.5499749,-96.700327
36.7295295,-119.7088613
39.1146799,-94.7495246
27.8002542,-97.3955744
45.3573429,-122.6067583
47.6694141,-122.1238767
38.6337716,-90.2416548
36.8889933,-76.2481624
35.3848841,-77.9927651
36.6744117,-121.6550372
36.6744117,-121.6550372
47.8278656,-122.3053932
35.9242943,-80.0563864
41.0799898,-85.1386015
45.4206749,-122.6706498
34.0007493,-81.0343313
47.5315625,-122.6384056
33.4485866,-112.0773456
45.8846686,-95.377883
41.8500997,-71.4661703
37.8912529,-122.1859572
44.721784,-123.920113
41.2230048,-111.9738429
45.891774,-123.961527
47.1849009,-122.2921406
48.118146,-123.4307413
47.3664231,-122.0437127
40.284041,-79.5489517
35.3738712,-119.0194639
41.7010642,-71.1546367
32.8579056,-97.2547371
31.3445508,-109.5453461
36.1662859,-115.149225
41.439754,-81.7405559
28.247132,-82.71702389
45.9109715,-122.7408326
33.4485866,-112.0773456
47.5278365,-121.8764374
47.2495798,-122.4398746
42.7260523,-87.7825242
35.3738712,-119.0194639
47.6038321,-122.3300624
38.8339578,-104.8253485
45.4206749,-122.6706498
40.4731073,-88.9941403
40.2338438,-111.6585337
40.5863563,-122.3916754
47.0023813,-124.1532484
45.4206749,-122.6706498
44.0581728,-121.3153096
46.8030154,-95.3525318
36.6240321,-78.5569437
47.4234599,-120.3103494
34.0922335,-117.435048
33.8455911,-118.3886766
40.3281247,-79.6153198
39.52927,-119.8136744
47.6905295,-114.1637614
37.4282724,-121.9066238
27.9477595,-82.458444
47.0450197,-122.8948725
47.8000944,-122.3314116
31.9973662,-102.0779482
47.2495798,-122.4398746
47.7598697,-122.2068288
47.6859573,-122.1920249
35.683404,-85.7699816
39.2508229,-106.2925238
47.9474034,-122.3036992
42.5092039,-84.655814
37.6390972,-120.9968782
40.9729584,-117.7356849
47.6038321,-122.3300624
47.1849009,-122.2921406
47.469918,-122.3485274
41.0799898,-85.1386015
40.4857863,-74.4254849
26.1420358,-81.7948103
42.3264181,-122.8718605
34.1402148,-118.3789526
47.313494,-122.3393103
43.444816,-85.2929384
47.6038321,-122.3300624
48.4200462,-122.32642
35.3738712,-119.0194639
48.2452535,-122.3495336
39.9622601,-83.0007065
30.2265949,-93.2173759
34.5958572,-120.1390894
37.7030051,-85.8647201
47.0077652,-122.9110785
38.9013013,-77.2651585
41.6786754,-83.5127283
47.9474034,-122.3036992
30.3321838,-81.655651
45.3803261,-122.5945507
42.8323836,-72.9696779
48.1465457,-103.621814
41.7010642,-71.1546367
47.862745,-121.987547
45.4871723,-122.8037804
25.7742658,-80.1936589
40.868154,-73.425676
47.3075369,-122.2301808
47.6038321,-122.3300624
28.023544,-82.12720212
48.1810957,-122.1389548
47.6038321,-122.3300624
45.455921,-123.844429
45.5202471,-122.6741949
34.0922335,-117.435048
47.6038321,-122.3300624
46.8700801,-113.9952796
36.1325617,-88.5186636
39.1637984,-119.7674034
40.759151,-74.0000328
21.4954957,-158.0626555
29.6519396,-82.3249961
47.6038321,-122.3300624
47.0979462,-122.4243422
40.8364845,-74.47818854
41.6786754,-83.5127283
47.6144219,-122.1923372
43.074761,-89.3837613
45.7874957,-108.49607
35.3738712,-119.0194639
47.6038321,-122.3300624
47.6038321,-122.3300624
38.7459482,-78.6422377
41.0799898,-85.1386015
34.4358295,-119.8276389
35.16668035,-103.7381148
45.5202471,-122.6741949
35.3738712,-119.0194639
36.3134398,-82.3534728
33.4485866,-112.0773456
45.4630231,-91.1040358
43.7021922,-91.0131863
40.3048178,-105.1025075
42.2508691,-84.2130083
47.2495798,-122.4398746
34.0211224,-118.3964665
36.8524545,-121.4016021
41.2157904,-86.777617
39.4534731,-123.8149114
47.6694141,-122.1238767
38.4314141,-92.8410274
21.3250785,-157.8466442
27.9658533,-82.8001026
42.098408,-76.0493684
42.291707,-85.5872286
33.5091215,-111.8992365
38.7298305,-93.56143319
42.7467159,-84.4011807
47.0263876,-122.8072257
44.911006,-116.0987364
47.6038321,-122.3300624
40.7670126,-111.8904308
35.0841034,-106.6509851
40.2452976,-75.6496424
45.4206749,-122.6706498
47.8278656,-122.3053932
42.291707,-85.5872286
43.8014053,-91.2395429
35.3738712,-119.0194639
47.6694141,-122.1238767
47.7545827,-122.1588902
41.6556465,-74.6893282
45.926552,-116.1223654
36.8252277,-119.7029194
40.6984348,-74.4015405
44.6402434,-93.1435497
32.8406946,-83.6324022
35.3738712,-119.0194639
36.3134398,-82.3534728
46.2778406,-119.2769067
38.263,-121.9278
40.7317855,-73.4481362
41.8528065,-124.149862
47.3075369,-122.2301808
45.5202471,-122.6741949
45.4206749,-122.6706498
47.2317185,-122.5143049
47.2495798,-122.4398746
45.4871723,-122.8037804
36.4745636,-81.804838
47.6038321,-122.3300624
33.7288179,-116.3825711
36.1662859,-115.149225
47.4449086,-122.2830842
45.4871723,-122.8037804
47.6038321,-122.3300624
38.2542376,-85.759407
33.4485866,-112.0773456
39.4850848,-80.1425781
48.1598553,-122.3535362
33.7490987,-84.3901849
42.2792625,-71.416172
41.0465776,-73.9496707
47.2495798,-122.4398746
48.2765903,-116.5532476
47.6607729,-122.2914971
43.0630834,-83.8510732
44.9772995,-93.2654692
36.7295295,-119.7088613
35.9603948,-83.9210261
38.7131073,-90.4298401
37.3344561,-79.5235083
47.7391366,-122.63928
43.0171773,-83.7236024
30.4982516,-86.1360517
36.7953025,-76.05092512
41.6612561,-91.5299106
38.2542376,-85.759407
44.7606441,-85.6165301
42.8122508,-85.7228062
32.9786566,-115.530267
47.4449086,-122.2830842
40.522924,-79.8913193
45.2206945,-123.0761419
38.3565773,-121.9877444
48.505399,-111.857225
34.0922335,-117.435048
47.3075369,-122.2301808
47.3826903,-122.2270272
47.6038321,-122.3300624
42.2222614,-83.3965995
40.696629,-111.9867271
47.0042643,-122.539846
33.4144139,-111.9094474
47.8577455,-122.2210628
33.9330156,-117.944777
38.6337716,-90.2416548
41.0799898,-85.1386015
36.9035983,-104.4391002
47.0450197,-122.8948725
40.3014581,-79.5389289
42.6511674,-73.754968
42.0415823,-87.8873916
42.0147513,-89.3323279
30.2711286,-97.7436995
44.9482087,-123.0629463
36.1662859,-115.149225
39.1146799,-94.7495246
40.2663107,-76.8861122
33.7117095,-86.82236185
40.7670126,-111.8904308
47.6144219,-122.1923372
45.4871723,-122.8037804
44.310583,-69.779663
45.5202471,-122.6741949
39.3113257,-94.922759
36.1622296,-86.7743531
47.3075369,-122.2301808
35.0841034,-106.6509851
47.2495798,-122.4398746
40.2170575,-74.7429463
47.8671924,-121.7444588
32.9604305,-96.83026003
34.0922335,-117.435048
34.0922335,-117.435048
29.0338575,-95.4343859
48.5049158,-122.2349409
36.1662859,-115.149225
47.3075369,-122.2301808
41.8500997,-71.4661703
47.6694141,-122.1238767
35.1209452,-120.6218376
40.2922938,-79.8817181
42.4792618,-71.1522766
