State,Frequency
california,4123
,3533
washington,2835
texas,2472
florida,2235
new york,1793
illinois,1723
arizona,1523
ohio,1384
pennsylvania,1248
oregon,1188
michigan,998
colorado,930
north carolina,916
indiana,841
missouri,796
massachusetts,763
new jersey,740
georgia,740
wisconsin,724
minnesota,723
tennessee,712
virginia,674
kentucky,557
nevada,549
south carolina,479
new mexico,477
oklahoma,469
iowa,465
maryland,453
kansas,430
alabama,404
utah,389
arkansas,359
new hampshire,298
idaho,292
nebraska,287
montana,278
mississippi,265
west virginia,245
connecticut,243
louisiana,179
maine,169
alaska,168
rhode island,164
hawaii,149
wyoming,129
south dakota,112
delaware,107
north dakota,100
