stadium,lat,lon
Abbey Stadium,52.2128,0.154298
Adams Park,51.6306,-0.800299
Alexandra Stadium,53.0875,-2.43569
Almondvale Stadium,55.8864,-3.52207
Amex Stadium,50.8609,-0.08014
Anfield,53.4308,-2.96096
Ashton Gate,51.44,-2.62021
B2net Stadium,53.2535,-1.4272
Balmoor,57.5112,-1.79599
Bayview Stadium,56.1889,-2.99914
Bescot Stadium,52.5655,-1.99053
Bloomfield Road,53.8046,-3.04834
Bootham Crescent,53.9695,-1.08833
Borough Briggs,57.6518,-3.3209
Boundary Park,53.5551,-2.12847
Bramall Lane,53.3703,-1.47083
Brisbane Road,51.5601,-0.012551
Britannia Stadium,52.9884,-2.17542
Broadfield Stadium,51.0996,-0.194579
Broadwood Stadium,55.9447,-4.0379
Brunton Park,54.8955,-2.91365
Cappielow Park,55.9414,-4.72719
Cardiff City Stadium,51.4729,-3.20413
Carrow Road,52.6221,1.30912
Celtic Park,55.8497,-4.20561
Central Park,56.1088,-3.34717
Cliftonhill,55.8602,-4.01145
Craven Cottage,51.4749,-0.221619
Crown Ground,53.7654,-2.37106
Deepdale,53.772,-2.68832
Dens Park,56.4747,-2.97352
Dumbarton Football Stadium,55.9384,-4.56162
DW Stadium,53.5477,-2.65415
East End Park,56.0756,-3.44196
Easter Road,55.9616,-3.16521
Edgar Street,52.0607,-2.71774
Elland Road,53.7775,-1.57212
Emirates Stadium,51.5549,-0.108436
Etihad Stadium,53.483,-2.20024
Ewood Park,53.7286,-2.48937
Falkirk Stadium,56.0053,-3.75262
Field Mill,53.1378,-1.2013
Fir Park,55.7804,-3.9803
Firhill,55.8815,-4.26938
Forthbank Stadium,56.1191,-3.91194
Fratton Park,50.7964,-1.06389
Galabank,54.9948,-3.2612
Gayfield Park,56.5523,-2.5914
Gigg Lane,53.5805,-2.29487
Glanford Park,53.5867,-0.695244
Glebe Park,56.7353,-2.6565
Globe Arena,54.0675,-2.84707
Goodison Park,53.4387,-2.96619
Griffin Park,51.4882,-0.302621
Hampden Park,55.8258,-4.25198
Highbury Stadium,53.9165,-3.02484
Hillsborough,53.4115,-1.50075
Home Park,50.3882,-4.15076
Huish Park,50.9503,-2.67383
Ibrox,55.8529,-4.30962
Kassam Stadium,51.7164,-1.20775
KC Stadium,53.7465,-0.368009
Keepmoat Stadium,53.5099,-1.11382
Kenilworth Road,51.8842,-0.43155
King Power Stadium,52.6203,-1.14217
Kingsmeadow,51.4051,-0.281984
Liberty Stadium,51.6428,-3.93473
Links Park,56.714,-2.45902
Loftus Road,51.5093,-0.232204
London Road,52.5648,-0.240434
Macron Stadium,53.5805,-2.53571
Madjeski Stadium,51.4222,-0.982777
McDiarmid Park,56.4099,-3.47684
Meadow Lane,52.9425,-1.13703
Memorial Stadium,51.4862,-2.58315
Millennium Stadium,51.4782,-3.18281
Molineux,52.5904,-2.13061
Moss Rose,53.2427,-2.127
New Broomfield,55.8601,-3.95997
New Douglas Park,55.7821,-4.058
New Meadow,52.6886,-2.74931
New York Stadium,53.4281,-1.36172
Oakwell,53.5524,-1.46756
Ochilview Park,56.0282,-3.81449
Old Trafford,53.4631,-2.29139
Olympic Stadium,51.5383,-0.016587
Palmerston Park,55.0703,-3.6246
Pirelli Stadium,52.8219,-1.62708
Pittodrie,57.1593,-2.08872
Plainmoor,50.4764,-3.52382
Portman Road,52.0544,1.14554
Prenton Park,53.3738,-3.03269
Pride Park,52.9149,-1.44727
Priestfield Stadium,51.3844,0.560367
Recreation Ground,51.2484,-0.754869
Recreation Park,56.1166,-3.77865
Ricoh Arena,52.4481,-1.49563
Riverside,54.5781,-1.21776
Rodney Parade,51.5889,-2.98902
Roots Hall,51.5491,0.701572
Rugby Park,55.6046,-4.50846
Selhurst Park,51.3983,-0.085455
Seward Stadium,50.7352,-1.83839
Shielfield Park,55.76,-2.01599
Sixfields Stadium,52.2352,-0.933485
Somerset Park,55.4697,-4.61996
Spotland Stadium,53.6209,-2.17993
St Andrews,52.4756,-1.86824
St James Park,54.9756,-1.62179
"St James Park, Exeter",50.7307,-3.52109
St Mary's Stadium,50.9058,-1.39114
St Mirren Park,55.8529,-4.42879
Stadium of Light,54.9146,-1.38837
Stadiummk,52.0096,-0.733507
Stair Park,54.9022,-5.01249
Stamford Bridge,51.4816,-0.191034
Stark's Park,56.0999,-3.16851
Station Park,56.6523,-2.88492
Tannadice Park,56.4748,-2.96902
The Caledonian Stadium,57.4951,-4.21751
The City Ground,52.9399,-1.13258
The County Ground,51.5645,-1.77107
The Den,51.4859,-0.050743
The Galpharm Stadium,53.6543,-1.76837
The Hawthorns,52.509,-1.96418
The Hive Stadium,51.6028,-0.291788
The Lamex Stadium,51.8898,-0.193664
The Valley,51.4865,0.036757
Turf Moor,53.7888,-2.23018
Tynecastle,55.9388,-3.2325
Vale Park,53.05,-2.1926
Valley Parade,53.8042,-1.75902
Vicarage Road,51.6498,-0.401569
Victoria Park,54.6891,-1.21274
"Victoria Park, Dingwall",57.5959,-4.41898
Victoria Road,51.5478,0.159739
Villa Park,52.5092,-1.88508
Wembley,51.5559,-0.279543
Weston Homes Community Stadium,51.9234,0.897861
Whaddon Road,51.9062,-2.06021
White Hart Lane,51.6033,-0.065684
