urban_area,country,pop_rank,population,major_4_cnt,major_6_cnt,NFL,MLB,NBA,NHL,MLS,CFL,ua_lat,ua_lon,state
New York City,United States,1,20685000,9,11,Giants Jets[note 1],Yankees Mets[note 2],Knicks Nets,Rangers Islanders Devils[note 3],Red Bulls New York City FC, ,40.73064580,-73.98661360,New York
Los Angeles,United States,2,15135000,8,10,Rams Chargers[note 4],Dodgers Angels,Lakers Clippers,Kings Ducks,Galaxy Los Angeles FC[note 5], ,34.05493500,-118.24447600,California
San Francisco Bay Area,United States,7,5955000,6,7,49ers Raiders[note 6],Giants Athletics,Warriors,Sharks[note 7],Earthquakes, ,37.78849690,-122.35584730,California
Chicago,United States,3,9185000,5,6,Bears[note 8],Cubs White Sox,Bulls[note 9],Blackhawks,Fire, ,41.87555460,-87.62442120,Illinois
Dallas Fort Worth,United States,5,6280000,4,5,Cowboys,Rangers,Mavericks,Stars,FC Dallas, ,32.73790370,-97.23942810,Texas
Philadelphia,United States,9,5595000,4,5,Eagles,Phillies[note 10],76ers,Flyers[note 11],Union, ,39.95239930,-75.16358990,Pennsylvania
"Washington, D.C.",United States,11,4950000,4,5,Redskins,Nationals[note 12],Wizards[note 13],Capitals,D.C. United, ,36.29885175,-82.35919331,District of Columbia
Boston,United States,12,4490000,4,5,Patriots[note 14],Red Sox[note 15],Celtics,Bruins,Revolution, ,42.36048230,-71.05956780,Massachusetts
Minneapolis Saint Paul,United States,18,2795000,4,5,Vikings,Twins,Timberwolves,Wild[note 16],United FC, ,44.94758455,-93.10276713,Minnesota
Denver,United States,20,2600000,4,5,Broncos,Rockies,Nuggets[note 17],Avalanche[note 18],Rapids, ,39.73915360,-104.98470340,Colorado
Miami,United States,8,5820000,4,4,Dolphins,Marlins,Heat,Panthers,[note 19], ,25.77426580,-80.19365890,Florida
Phoenix,United States,13,4295000,4,4,Cardinals,Diamondbacks,Suns,Coyotes, , ,33.44858660,-112.07734560,Arizona
Detroit,United States,14,3660000,4,4,Lions,Tigers[note 20],Pistons[note 21],Red Wings, , ,42.34866350,-83.05673750,Michigan
Houston,United States,6,6005000,3,4,Texans[note 25],Astros,Rockets, ,Dynamo, ,29.75893820,-95.36769740,Texas
Atlanta,United States,10,5120000,3,4,Falcons,Braves,Hawks,[note 26],United FC, ,33.74909870,-84.39018490,Georgia
Tampa Bay,United States,19,2660000,3,3,Buccaneers,Rays, ,Lightning,[note 27], ,27.68864190,-82.57231930,Florida
Cleveland,United States,29,1785000,3,3,Browns[note 28],Indians[note 29],Cavaliers[note 30],[note 31], , ,41.50516130,-81.69344460,Ohio
Pittsburgh,United States,30,1730000,3,3,Steelers,Pirates,[note 32],Penguins[note 33], , ,40.44169410,-79.99008610,Pennsylvania
Seattle,United States,16,3475000,2,3,Seahawks,Mariners,[note 34], ,Sounders FC, ,47.60383210,-122.33006240,Washington
Kansas City,United States,34,1610000,2,3,Chiefs,Royals[note 35],[note 36],[note 37],Sporting Kansas City, ,39.08446870,-94.56302980,Missouri
Baltimore,United States,22,2275000,2,2,Ravens[note 38],Orioles[note 39],[note 40], , ,[note 41],39.29088160,-76.61075900,Maryland
St. Louis,United States,24,2195000,2,2,[note 42],Cardinals[note 43],[note 44],Blues[note 45], , ,38.63377160,-90.24165480,Missouri
Cincinnati,United States,31,1695000,2,2,Bengals,Reds[note 46],[note 47], , , ,39.10145370,-84.51246020,Ohio
Indianapolis,United States,33,1645000,2,2,Colts,[note 48],Pacers[note 49], , , ,39.76833310,-86.15835020,Indiana
Milwaukee,United States,38,1415000,2,2,[note 50],Brewers[note 51],Bucks, , , ,43.03499310,-87.92249700,Wisconsin
Charlotte,United States,35,1600000,2,2,Panthers, ,Hornets[note 52], , , ,35.22708690,-80.84312680,North Carolina
Nashville,United States,44,1105000,2,2,Titans, , ,Predators,[note 53], ,36.16222960,-86.77435310,Tennessee
Buffalo,United States,53,920000,2,2,Bills[note 54],[note 55],[note 56],Sabres, , ,42.88671660,-78.87839220,New York
New Orleans,United States,52,925000,2,2,Saints, ,Pelicans[note 57], , , ,30.03280175,-89.97500545,Louisiana
Orlando,United States,25,2125000,1,2, , ,Magic, ,Orlando City SC, ,28.54239990,-81.37943680,Florida
Portland,United States,27,2000000,1,2, , ,Trail Blazers, ,Timbers, ,45.52024710,-122.67419490,Oregon
Columbus,United States,36,1505000,1,2, , , ,Blue Jackets,Crew SC, ,39.96226010,-83.00070650,Ohio
Salt Lake City,United States,45,1100000,1,2, , ,Jazz, ,Real Salt Lake, ,40.76701260,-111.89043080,Utah
San Diego,United States,17,3110000,1,1,[note 62],Padres,[note 63], , , ,32.71742090,-117.16277140,California
Las Vegas,United States,23,2255000,1,1,[note 6], , ,Golden Knights, ,[note 64],36.16628590,-115.14922500,Nevada
San Antonio,United States,26,2025000,1,1,[note 65], ,Spurs, , ,[note 66],29.42460020,-98.49514050,Texas
Sacramento,United States,28,1920000,1,1, , ,Kings, , ,[note 67],38.58157190,-121.49439960,California
Jacksonville,United States,41,1170000,1,1,Jaguars, , , , , ,30.33218380,-81.65565100,Florida
Memphis,United States,43,1110000,1,1,[note 68], ,Grizzlies, , ,[note 69],35.14902150,-90.05162850,Tennessee
Raleigh,United States,42,1130000,1,1, , , ,Hurricanes, , ,35.78039770,-78.63909890,North Carolina
Oklahoma City,United States,51,930000,1,1, , ,Thunder[note 70], , , ,35.47298860,-97.51705360,Oklahoma
Green Bay,United States, ,205000,1,1,Packers, , , , , ,44.51263790,-88.01257940,Wisconsin
