state,pop_density,pop_rank
Alabama,94.4,3
Alaska,1.2,1
Arizona,56.3,2
Arkansas,56,2
California,239.1,4
Colorado,48.5,2
Connecticut,738.1,4
Delaware,460.8,4
District of Columbia,"9,856.50",5
Florida,350.6,4
Georgia,168.4,3
Hawaii,211.8,3
Idaho,19,1
Illinois,231.1,3
Indiana,181,3
Iowa,54.5,2
Kansas,34.9,2
Kentucky,109.9,3
Louisiana,104.9,3
Maine,43.1,2
Maryland,594.8,4
Massachusetts,839.4,4
Michigan,174.8,3
Minnesota,66.6,2
Mississippi,63.2,2
Missouri,87.1,2
Montana,6.8,1
Nebraska,23.8,2
Nevada,24.6,2
New Hampshire,147,3
New Jersey,"1,195.50",5
New Mexico,17,1
New York,411.2,4
North Carolina,196.1,3
North Dakota,9.7,1
Ohio,282.3,4
Oklahoma,54.7,2
Oregon,39.9,2
Pennsylvania,283.9,4
Puerto Rico,"1,088.20",5
Rhode Island,"1,018.10",5
South Carolina,153.9,3
South Dakota,10.7,1
Tennessee,153.9,3
Texas,96.3,3
Utah,33.6,2
Vermont,67.9,2
Virginia,202.6,3
Washington,101.2,3
West Virginia,77.1,2
Wisconsin,105,3
Wyoming,5.8,1
